ADDRESS,LON,LAT
"BLOOMINGTON, IN, USA",-86.5263857,39.165325
"NEW PALTZ, NY, USA",-74.0868095,41.7475933
"BATTLE CREEK, MI, USA",-85.1797142,42.3211522
"BESSEMER, AL, USA",-86.954437,33.4017766
"JACKSON, MS, USA",-90.1848103,32.2987573
"BUFFALO, NY, USA",-78.8783689,42.8864468
"BRONXVILLE, NY, USA",-73.8320784,40.9381544
"CASTINE, ME, USA",-68.7989582,44.3888609
"ANN ARBOR, MI, USA",-83.7430378,42.2808256
"MINNEAPOLIS, MN, USA",-93.2650108,44.977753
"JOHNSON, NY, USA",-74.506364,41.3662513
"MACON, GA, USA",-83.6324022,32.8406946
"BILOXI, MS, USA",-88.8853078,30.3960318
"FARMVILLE, VA, USA",-78.3919401,37.3020965
"IOWA CITY, IA, USA",-91.5301683,41.6611277
"FRANKFORT, KY, USA",-84.8732835,38.2009055
"NEWARK, NJ, USA",-74.1723667,40.735657
"DANVILLE, VA, USA",-79.3950228,36.5859718
"FLUSHING, NY, USA",-73.833079,40.7674987
"ALEXANDRIA, VA, USA",-77.0469214,38.8048355
"HILLSBOROUGH, FL, USA",-82.3017728,27.9903597
"MONROE, NC, USA",-80.5495112,34.9854275
"NEW ROCHELLE, NY, USA",-73.7823549,40.9114882
"OAK RIDGE, TN, USA",-84.2696449,36.0103561
"WASHINGTON, NA, USA",-77.0044398,38.8906424
"SAN QUENTIN, CA, USA",-122.484704,37.9413246
"ARLINGTON, VA, USA",-77.0909809,38.8816208
"OSSINING, NY, USA",-73.8615246,41.1628731
"PINE BLUFF, AR, USA",-92.0031955,34.2284312
"MONTEAGLE, TN, USA",-85.8396979,35.2400807
"URBANA, IL, USA",-88.2072697,40.1105875
"SPARTANBURG, SC, USA",-81.9320482,34.9495672
"HOPEWELL, VA, USA",-77.2872001,37.3043154
"BUFORD, GA, USA",-84.0043513,34.1206564
"MYRTLE BEACH, SC, USA",-78.8866943,33.6890603
"ROANOKE, VA, USA",-79.9414266,37.2709704
"SAINT PETERSBURG, FL, USA",-82.6267345,27.7518284
"SAVANNAH BEACH, GA, USA",-80.845666,32.0002152
"UNION, MS, USA",-89.1214478,32.5715272
"MERIDIAN, MS, USA",-88.703656,32.3643098
"GROTON, CT, USA",-72.0790717,41.3497456
"NEW LONDON, CT, USA",-72.0995209,41.3556539
"SIOUX FALLS, SD, USA",-96.7311034,43.5445959
"LEXINGTON, KY, USA",-84.5037164,38.0405837
"MURPHYSBORO, IL, USA",-89.3350888,37.7644952
"MOBILE, AL, USA",-88.0398912,30.6953657
"HARPERSVILLE, AL, USA",-86.4380357,33.3439995
"SAN DIEGO, CA, USA",-117.1610838,32.715738
"DES MOINES, IA, USA",-93.6091064,41.6005448
"DUNN, NC, USA",-78.6089028,35.3062743
"COVINGTON, KY, USA",-84.5085536,39.0836712
"SALISBURY, NC, USA",-80.4742261,35.6709727
"MOORESTOWN, NJ, USA",-74.948886,39.9688817
"JACKSONVILLE, KY, USA",-83.3835135,37.5531457
"SCRANTON, PA, USA",-75.6624122,41.408969
"MONSEY, NY, USA",-74.0684751,41.1112069
"TIFTON, GA, USA",-83.5084973,31.4504629
"SANTE FE, NM, USA",-105.937799,35.6869752
"CROTON, CT, USA",-72.0790717,41.3497456
"METUCHEN, NJ, USA",-74.3632049,40.5431598
"SALT LAKE CITY, UT, USA",-111.8910474,40.7607793
"WHITESBURG, GA, USA",-84.9138283,33.4940017
"BREMOND, TX, USA",-96.6769217,31.1651817
"WETHERSFIELD, CT, USA",-72.6596244,41.7063537
"DECATUR, GA, USA",-84.2963123,33.7748275
"PLATTSBURGH, NY, USA",-73.4529124,44.6994873
"JACKSON, TN, USA",-88.8139469,35.6145169
"ANDERSON, IN, USA",-85.6802541,40.1053196
"ITHACA, NY, USA",-76.5018807,42.4439614
"SAINT CLOUD, MN, USA",-94.1632404,45.5579451
"MOUNT VERNON, IL, USA",-88.9031201,38.3172714
", NA, USA",-95.712891,37.09024
"HAYWOOD, TN, USA",-89.2621216,35.593858
"FAYETTE, TN, USA",-89.4742177,35.1257427
"FORT DUCHESNE, UT, USA",-109.8545901,40.2880155
"DEERFIELD, IL, USA",-87.8445119,42.1711365
"LYNCHBURG, VA, USA",-79.1422464,37.4137536
"SACRAMENTO, CA, USA",-121.4943996,38.5815719
"RAHWAY, NJ, USA",-74.2776468,40.6081591
"ATHENS, GA, USA",-83.357567,33.9519347
"LINDEN, NJ, USA",-74.2445902,40.6220478
"LOUISVILLE, KY, USA",-85.7584557,38.2526647
"MUSKEGON, MI, USA",-86.2483921,43.2341813
"PORTSMOUTH, NH, USA",-70.7625532,43.0717552
"TRENTON, NJ, USA",-74.7429384,40.2170534
"CARSON CITY, NV, USA",-119.7674034,39.1637984
"BOWLING GREEN, OH, USA",-83.6513229,41.3747744
"RENO, NV, USA",-119.8138027,39.5296329
"SEATTLE, WA, USA",-122.3320708,47.6062095
"KITTERY, ME, USA",-70.736137,43.0881256
"WALLA WALLA, WA, USA",-118.3430208,46.0645809
"PROVIDENCE, RI, USA",-71.4128343,41.8239891
"MONROE, LA, USA",-92.1193012,32.5093109
"OBERLIN, OH, USA",-82.2173786,41.2939386
"SYRACUSE, NY, USA",-76.1474244,43.0481221
"BRONX, NY, USA",-73.8648268,40.8447819
", CA, USA",-119.4179324,36.778261
", MI, USA",-85.6023643,44.3148443
"TALLADEGA, AL, USA",-86.1058048,33.4359416
"LAGRANGE, GA, USA",-85.0322444,33.0362218
"IONE, CA, USA",-120.9327177,38.3526912
"STANFORD, CT, USA",-73.5387341,41.0534302
"WOODSTOCK, NY, USA",-74.1181971,42.0409247
"TRINITY, NC, USA",-79.9908729,35.894581
"EVANSTON, IL, USA",-87.6876969,42.0450722
"WESTPORT, CT, USA",-73.3579049,41.1414717
"WENDOVER, NV, USA",-114.073345,40.739097
"WILMINGTON, NC, USA",-77.9447102,34.2257255
"OCALA, FL, USA",-82.1400923,29.1871986
"INDIANAPOLIS, IN, USA",-86.158068,39.768403
"RYE, NY, USA",-73.6837399,40.9806535
"FORT LAUDERDALE, FL, USA",-80.1373174,26.1224386
"OAK PARK, MI, USA",-83.1827051,42.4594803
"DEARBORN, MI, USA",-83.1763145,42.3222599
"NEW HAVEN, NJ, USA",-74.2431962,39.5592848
"ALAMEDA, ID, USA",-112.454146,42.8899144
"DANVILLE, IL, USA",-87.6300207,40.124481
", NY, USA",-74.0055245,40.7134248
"TEANECK, NJ, USA",-74.0116536,40.8932469
"MONTCLAIR, NJ, USA",-74.2090053,40.8259007
"KINZUA, PA, USA",-78.5871416,41.759771
"SHREVEPORT, LA, USA",-93.7501789,32.5251516
"MIAMI BEACH, FL, USA",-80.1300455,25.790654
"AMITE COUNTY, MS, USA",-90.8294002,31.1683803
"STAUNTON, VA, USA",-79.0716958,38.149576
"WINONA, MS, USA",-89.7281369,33.4820678
"MCCOMB, MS, USA",-90.4531535,31.2437872
"ROSLYN, NY, USA",-73.6509622,40.7998227
"OYSTER BAY, NY, USA",-73.5320685,40.8656543
"STORMVILLE, NY, USA",-73.7454088,41.5703713
"ROCHESTER, NY, USA",-77.6109219,43.16103
"KENTON, OH, USA",-83.6096516,40.6469982
"MASSAPEQUA, NY, USA",-73.4742914,40.6806563
"WINONA, IL, USA",-91.6663523,44.0553908
"AUBURN, NY, USA",-76.5660529,42.9317335
"NEW FAIRFIELD, CT, USA",-73.4856461,41.4660993
"POPLARVILLE, MS, USA",-89.5342315,30.8401863
"GREENWICH, CT, USA",-73.6281964,41.0262417
"ANNAPOLIS, MD, USA",-76.4921829,38.9784453
"AUGUSTA, GA, USA",-82.0105148,33.4734978
"EASTON, MD, USA",-76.0763305,38.7742826
"CAMBRIDGE, MD, USA",-76.0788292,38.5631744
"MONTVILLE, CT, USA",-72.1556189,41.4639922
"CHESTERTOWN, MD, USA",-76.0690036,39.2188663
"MONTEREY, CA, USA",-121.8946761,36.6002378
"ORANGE, NJ, USA",-74.2326478,40.7706187
"LEESVILLE, LA, USA",-93.260998,31.1435194
"STAMFORD, CT, USA",-73.5387341,41.0534302
"EDISON, NJ, USA",-74.4120953,40.5187154
"WHITE PLAINS, NY, USA",-73.7629097,41.0339862
"PIERRE, SD, USA",-100.3509665,44.3683156
"HAVRE DE GRACE, MD, USA",-76.091617,39.5492792
"TUCKAHOE, NY, USA",-73.827356,40.9503764
"PITTSBURGH, PA, USA",-79.9958864,40.4406248
"STONE MOUNTAIN, GA, USA",-84.170196,33.8081608
"CONCORD, NH, USA",-71.5375718,43.2081366
"CAIRO, IL, USA",-89.1764608,37.0053293
"HICKSVILLE, NY, USA",-73.5251253,40.7684331
"SASSER, GA, USA",-84.3463045,31.7206503
"CHARLOTTESVILLE, VA, USA",-78.4766781,38.0293059
"JERSEY CITY, NJ, USA",-74.0776417,40.7281575
"BRIDGETON, NJ, USA",-75.2340768,39.427337
"LEESBURG, GA, USA",-84.1707423,31.7321156
"BURAS, LA, USA",-89.5246636,29.3518223
"FLORENCE, KY, USA",-84.6266111,38.9989499
"DAWSON, GA, USA",-84.4465826,31.7735001
"LEE COUNTY, GA, USA",-84.1435136,31.8128435
"PLAINFIELD, NJ, USA",-74.4073736,40.6337136
"CHESTER, PA, USA",-75.3557457,39.849557
"DALLAS, GA, USA",-84.8413056,33.9244531
"RULEVILLE, MS, USA",-90.5514806,33.7259478
"GARY, IN, USA",-87.3464271,41.5933696
"PASCAGOULA, CA, USA",-88.4931477,30.3440132
"BLOOMFIELD, NJ, USA",-74.1854209,40.8067546
"OXFORD, MS, USA",-89.5192484,34.3664951
"PORT CHESTER, NY, USA",-73.6656834,41.0017643
"FORT WORTH, TX, USA",-97.3307658,32.7554883
"AUSTIN, MS, USA",-90.4492675,34.6406573
"CARTHAGE, MS, USA",-89.5361825,32.7326356
"FLORENCE, SC, USA",-79.7625625,34.1954331
"FIRE ISLAND PINES, NY, USA",-73.0681667,40.6653772
"GREENVILLE, MS, USA",-91.0377029,33.399661
"ASTORIA, NY, USA",-73.9234619,40.7643574
"LEONIA, NJ, USA",-73.9881942,40.8614887
"MOUND CITY, SD, USA",-100.0684524,45.7252697
"MANHASSET, L.I., NY, USA",-73.6995749,40.7978787
"PIQUA, OH, USA",-84.2424449,40.1447732
"LEVITTON, L.I., NY, USA",-73.5142921,40.7259336
"COBB, GA, USA",-84.564147,33.8999297
"NORTHFIELD, MN, USA",-93.161604,44.4582983
"PASCAGOULA, MS, USA",-88.5561272,30.3657552
"YANCEYVILLE, NC, USA",-79.3361314,36.4040273
"GREENWOOD, MS, USA",-90.1795281,33.5162315
"ROME, GA, USA",-85.1646726,34.257038
"TUSCALOOSA, AL, USA",-87.5691735,33.2098407
"ROCKFORD, IL, USA",-89.0939952,42.2711311
"CLARKSDALE, MS, USA",-90.5709323,34.2001086
"FRESNO, CA, USA",-119.7725868,36.7468422
"AMERICUS, GA, USA",-84.2326876,32.0723861
"WILMINGTON, DE, USA",-75.5397878,39.7390721
"CHESTER, NJ, USA",-74.6968284,40.7842667
"WILDWOOD, GA, USA",-85.4110711,34.9634096
"HAMMONDVILLE, AL, USA",-85.6266327,34.5817507
"JEFFERSON, MO, USA",-92.2630393,38.5892299
", MO, USA",-91.8318334,37.9642529
"LEXINGTON, MS, USA",-90.0531408,33.1131833
"BRUNSWICK, GA, USA",-81.4914894,31.1499528
"BRIDGEPORT, CT, USA",-73.1951767,41.1865478
"KANSAS CITY, KS, USA",-94.6274636,39.114053
"SAINT PAUL, MN, USA",-93.0899578,44.9537029
"HARRISBURG, PA, USA",-76.8867008,40.2731911
"SCHENECTADY, NY, USA",-73.9395687,42.8142432
"BURLINGTON, NJ, USA",-74.8648873,40.071222
"ALEXANDRIA, LA, USA",-92.4451371,31.3112936
"YELLOW SPRINGS, OH, USA",-83.886874,39.8064486
"TURN OAKS, PA, USA",-75.4221388,39.8390013
"FRANKLIN, NJ, USA",-74.5804378,41.1220409
"DAYTONA BEACH, FL, USA",-81.0228331,29.2108147
"LEXINGTON, NC, USA",-80.2533838,35.8240265
"GADSEN, AL, USA",-86.0066386,34.014264
"HEMPSTEAD, NJ, USA",-74.5023463,40.4661551
"LINCOLN, NE, USA",-96.6851982,40.8257625
"PORTLAND, OR, USA",-122.6764815,45.5230622
"TORRANCE, CA, USA",-118.3406288,33.8358492
"BENTON HARBOR, MI, USA",-86.4541894,42.1167065
"WATERTOWN, NY, USA",-75.9107565,43.9747838
"KUTZTOWN, PA, USA",-75.7774177,40.5173165
"NORTH BERGEN, NJ, USA",-74.012084,40.8042674
"ROSMAN, NC, USA",-82.8212432,35.143721
"OMAHA, NE, USA",-95.9979883,41.2523634
"LAWRENCE, KS, USA",-95.2352501,38.9716689
"YORK, PA, USA",-76.727745,39.9625984
"PHOENIX, AZ, USA",-112.0740373,33.4483771
"TERRANCE, CA, USA",-118.3406288,33.8358492
"ASHBURY PARK, NJ, USA",-74.0120817,40.2203907
"NIAGARA FALLS, NY, USA",-79.0377388,43.0962143
"SAINT LOUIS, IL, USA",-90.1994042,38.6270025
"GOLDSBORO, NC, USA",-77.9927651,35.3848841
"WILLIAMSTON, NC, USA",-77.0555114,35.8546039
"MILBURN, NJ, USA",-74.3206696,40.7340454
"FOLCROFT, PA, USA",-75.2837964,39.890946
"MILWAUKEE, WI, USA",-87.9064736,43.0389025
"PLAQUEMINE, LA, USA",-91.2342744,30.2890833
"TOPEKA, KS, USA",-95.6890185,39.0558235
"HONOLULU, HI, USA",-157.8583333,21.3069444
"HACKENSACK, NJ, USA",-74.0434736,40.8859325
"ST. LOUIS, IL, USA",-90.1506465,38.624514
"PLAQUMINE, LA, USA",-91.2342744,30.2890833
"HOPEWELL JUNCTION, NY, USA",-73.8087442,41.5839823
"ENFIELD, NC, USA",-77.6666415,36.1809865
"COALMONT, IN, USA",-87.2311259,39.1933751
"MINEOLA, NY, USA",-73.6406845,40.7492678
"HAMMOND, LA, USA",-90.4611995,30.5043583
"JERSEY CITY, NY, USA",-74.0776417,40.7281575
"TARRYTOWN, NY, USA",-73.8587461,41.0762077
"COXSACKIE, NY, USA",-73.8029028,42.3509179
"SOUTH BEND, IN, USA",-86.2519898,41.6763545
"WOODBURY, NJ, USA",-75.1526774,39.8381691
"BOWIE, MD, USA",-76.7791365,39.0067768
"UNKNOWN, AL, USA",-88.0019494,30.9010407
"SELMA, AL, USA",-87.0211007,32.4073589
"JACKSON, MI, USA",-84.4013462,42.245869
"AMES, IA, USA",-93.6319131,42.0307812
", DC, USA",-77.0331936,38.929591
"CLINTON, LA, USA",-91.0156594,30.8657362
"CAMBRIDGE, MA, USA",-71.1097335,42.3736158
"WESTBURY, NY, USA",-73.5876273,40.7556561
"GRIFFIN, GA, USA",-84.2640904,33.2467807
"WESTWOOD, NJ, USA",-74.0326395,40.9912087
"MALVERNE, NY, USA",-73.6740191,40.6789916
"HELENA, AK, USA",-90.5900273,34.5291253
"LITTLE ROCK, AK, USA",-92.2895948,34.7464809
"LI, NY, USA",-73.134961,40.789142
"CHAUNCEY, NY, USA",-73.9197243,40.6815208
"HOT SPRINGS, AR, USA",-93.0551795,34.5037004
"SANFORD, NC, USA",-79.1802994,35.4798757
"SANTA BARBARA, CA, USA",-119.6981901,34.4208305
"FAIRFIELD, AL, USA",-86.9119366,33.4859402
"HATTIESBURG, MS, USA",-89.2903392,31.3271189
"WHIPPANY, NJ, USA",-74.4022355,40.8254055
"ASHVILLE, NC, USA",-82.5514869,35.5950581
"ASHEBORO, NC, USA",-79.8136446,35.7079146
"VINELAND, NJ, USA",-75.0259637,39.4863773
"SCARSDALE, NY, USA",-73.7845768,41.0050977
"NOTASULGA, AL, USA",-85.6724538,32.5606908
"NATASULGA, AL, USA",-85.6724538,32.5606908
"WARREN, OH, USA",-80.8184166,41.2375569
"PRINCESS ANNE, MD, USA",-75.692427,38.2028993
"SOUTH ORANGE, NJ, USA",-74.2609903,40.7489277
"STATEWIDE, MI, USA",-84.555863,42.737783
"CATONSVILLE, MD, USA",-76.7319161,39.2720509
"ROSCOE, NY, USA",-74.9134961,41.9331441
"MEDFORD, MA, USA",-71.1061639,42.4184296
"NEW YORK, CA, USA",-73.9712488,40.7830603
"AKRON, OH, USA",-81.5190053,41.0814447
"GUTHRIE, OK, USA",-97.4253185,35.878937
"SAN MATEO, CA, USA",-122.3255254,37.5629917
"FORT WAYNE, IN, USA",-85.1393513,41.079273
"INDIANA, IN, USA",-86.1349019,40.2671941
"NEWTONVILLE, NJ, USA",-74.8664996,39.559684
"NEWBURGH, NY, USA",-74.0104178,41.5034271
"WESTCHESTER, NY, USA",-73.7948516,41.1220194
"OROVILLE, CA, USA",-121.556359,39.5137752
"STOCKTON, CA, USA",-121.2907796,37.9577016
"RICHMOND, CA, USA",-122.3477486,37.9357576
"BAKERSFIELD, CA, USA",-119.0187125,35.3732921
"SAUSALITO, CA, USA",-122.4852507,37.8590937
"SAN JOSE, CA, USA",-121.8863286,37.3382082
"POMONA, CA, USA",-117.7499909,34.055103
"SAN BERNANDINO, CA, USA",-117.2897652,34.1083449
"PALM SPRINGS, CA, USA",-116.5452921,33.8302961
"HILLSDALE, MI, USA",-84.6305101,41.9200472
"CANTON, MS, USA",-90.0367512,32.6126381
"JOLIET, IL, USA",-88.0817251,41.525031
"GARDEN CITY, NY, USA",-73.6342954,40.7267682
"TEXARKANA, TX, USA",-94.0476882,33.425125
"MOSS POINT, MI, USA",-88.5344601,30.4115881
"MCCOMB, MI, USA",-82.9286428,42.6651965
"LAKE CITY, FL, USA",-82.6392899,30.1896756
"APPOMATTOX, VA, USA",-78.8252911,37.3570894
"DREW, MS, USA",-90.5264813,33.809558
"CLEVELAND, MS, USA",-90.7248187,33.7440023
"MADISON, MS, USA",-90.1153638,32.4618086
"COLBERT, GA, USA",-83.2126517,34.0378903
"PHILADELPHIA, MS, USA",-89.1167275,32.7715227
"HATTIESBURG, MI, USA",-89.2903392,31.3271189
"ROSE HILL, MS, USA",-88.9958878,32.1445928
"MILTON, MS, USA",-71.0661653,42.2495321
"BATESVILLE, MS, USA",-89.9442567,34.3114982
"PATTERSON, NJ, USA",-74.171811,40.9167654
"NATCHEZ, MS, USA",-91.403171,31.5604442
"COLLINSVILLE, MS, USA",-88.8458832,32.4979183
"LAUREL, MS, USA",-89.1306124,31.6940509
"NESHOBA, MS, USA",-89.1705998,32.8057157
"MONROE, GA, USA",-83.713229,33.7948364
"KEANSBERG, NJ, USA",-74.1298643,40.4417743
"WESTMINSTER, SC, USA",-83.0965425,34.6648197
"MOUNT STERLING, KY, USA",-83.9432556,38.0564679
"HAMPTON BCH., NH, USA",-70.8134818,42.9113098
"SEASIDE, OR, USA",-123.9226385,45.9931636
"SUMMIT, MS, USA",-90.4684315,31.2837867
"VICKSBURG, MS, USA",-90.877882,32.3526456
"JESSUP, MD, USA",-76.7752493,39.1492746
"MAGNOLIA, MS, USA",-90.4587081,31.1432328
"NEW ROCHELLE, NJ, USA",-74.0751273,40.9073328
"ELMIRA, NY, USA",-76.8077338,42.0897965
"INDIANOLA, MS, USA",-90.6550917,33.4509513
"LONG BEACH, CA, USA",-118.1937395,33.7700504
"BRANDON, MS, USA",-89.9859158,32.2732024
"WASHINGTON, WA, USA",-120.7401385,47.7510741
"WILSON, NC, USA",-77.9155395,35.7212689
"PETROS, TN, USA",-84.4419232,36.0958817
"GOULD, AR, USA",-91.5609583,33.985101
"BERKELEY, CA, USA",-122.272747,37.8715926
"MERIDIAN, MI, USA",-84.4150644,42.7265389
"RIPLEY, MS, USA",-88.9506181,34.7298181
"FERRIDAY, LA, USA",-91.5545649,31.6301664
"RIDLEY, MS, USA",-88.803769,33.5080311
"NEW BERN, NC, USA",-77.0441143,35.108493
"LAKE CHARLES, LA, USA",-93.2173758,30.2265949
"MOULTRIE, GA, USA",-83.7888387,31.1799407
"CAMDEN, AL, USA",-87.2905456,31.9909813
"MARION, AL, USA",-87.3191655,32.6323536
"SUTTON PLACE, NJ, USA",-73.9692172,40.998157
"ROLLING FORK, MS, USA",-90.8781567,32.9065168
"MORRISTOWN, NJ, USA",-74.4815438,40.7967667
"MONROE, WA, USA",-121.970958,47.8553772
